[pn2401379.lanl.gov:71813] shmem: mmap: an error occurred while determining whether or not /var/folders/36/xt3jx8554vj0_03sz682d5_800074q/T//ompi.pn2401379.7319/jf.0/2451701760/sm_segment.pn2401379.7319.92220000.0 could be created.
InputConverter-u   |   Writing the translated XML to amanzi_infiltration_clay_sand_1d-u_native.xml
CycleDriver        |  New time = 3038.32 y
CycleDriver        |  
CycleDriver        |  Cycle 408: time = 3038.32 y, dt = 759.569 y
CycleDriver        |  New time = 3797.89 y
CycleDriver        |  
CycleDriver        |  Cycle 409: time = 3797.89 y, dt = 949.462 y
CycleDriver        |   Resetting time step to the maximum allowed of 1000 y
CycleDriver        |  New time = 4747.35 y
CycleDriver        |  
CycleDriver        |  Cycle 410: time = 4747.35 y, dt = 1000 y
CycleDriver        |   Resetting time step to the maximum allowed of 1000 y
CycleDriver        |  New time = 5747.35 y
CycleDriver        |  
CycleDriver        |  Cycle 411: time = 5747.35 y, dt = 1000 y
CycleDriver        |   Resetting time step to the maximum allowed of 1000 y
CycleDriver        |  New time = 6747.35 y
CycleDriver        |  
CycleDriver        |  Cycle 412: time = 6747.35 y, dt = 1000 y
CycleDriver        |   Resetting time step to the maximum allowed of 1000 y
CycleDriver        |  New time = 7747.35 y
CycleDriver        |  
CycleDriver        |  Cycle 413: time = 7747.35 y, dt = 1000 y
CycleDriver        |  New time = 8747.35 y
CycleDriver        |  
CycleDriver        |  Cycle 414: time = 8747.35 y, dt = 626.323 y
CycleDriver        |  New time = 9373.68 y
CycleDriver        |  
CycleDriver        |  Cycle 415: time = 9373.68 y, dt = 626.323 y
CycleDriver        |   Resetting time step to the maximum allowed of 1000 y
CycleDriver        |   writing visualization file: domain
CycleDriver        |   writing observations... 12
CycleDriver        |   writing checkpoint file
CycleDriver        |  New time = 10000 y
CycleDriver        |  ======================================================================
CycleDriver        |  Simulation made 416 cycles.
CycleDriver        |  All meshes combined have 200 cells.
CycleDriver        |  Memory usage (high water mark):
CycleDriver        |    Maximum per core:     696.9 MBytes,  maximum per cell: 3653795.8 Bytes
CycleDriver        |    Minumum per core:     696.9 MBytes,  minimum per cell: 3653795.8 Bytes
CycleDriver        |    Total:                696.9 MBytes,  total per cell:   3653795.8 Bytes
CycleDriver        |  Doubles allocated in state fields 
CycleDriver        |    Maximum per core:   0.0916595 MBytes
CycleDriver        |    Minimum per core:   0.0916595 MBytes
CycleDriver        |    Total:              0.0916595 MBytes
================================================================================

                      TimeMonitor results over 1 processor

Timer Name                  Global time (num calls)    
--------------------------------------------------------------------------------
Full Simulation             11.74 (1)                  
Geometric Model Creation    2e-05 (1)                  
Mesh Creation               0.009225 (1)               
================================================================================
Amanzi::SIMULATION_SUCCESSFUL

